,id,event,place,country,latitude,longitude,radius,max_hail_diameter,status,datetime
0,IT_28837,large hail,Santa Maria della Versa ,Italy,44.99,9.3,< 3 km,4 cm,report confirmed by reliable source,2022-07-26 21:45:00
1,IT_28828,large hail,Cigliano ,Italy,45.31,8.02,,2 cm,report confirmed by reliable source,2022-07-26 21:40:00
2,IT_28840,large hail,Stradella ,Italy,45.08,9.3,,2 cm,report confirmed by reliable source,2022-07-26 21:25:00
3,IT_28830,large hail,Lodi ,Italy,45.31,9.51,< 3 km,7 cm,report confirmed by reliable source,2022-07-26 20:10:00
4,IT_28835,large hail,Rescaldina ,Italy,45.62,8.96,,3 cm,report confirmed by reliable source,2022-07-26 19:30:00
5,IT_28841,large hail,Uboldo ,Italy,45.61,9.0,,5 cm,report confirmed by reliable source,2022-07-26 19:20:00
6,IT_28834,large hail,Origgio ,Italy,45.6,9.02,,3 cm,report confirmed by reliable source,2022-07-26 19:20:00
7,IT_28838,large hail,Saronno ,Italy,45.62,9.03,< 3 km,5 cm,report confirmed by reliable source,2022-07-26 19:10:00
8,IT_28833,large hail,Montorfano ,Italy,45.78,9.15,,2 cm,report confirmed by reliable source,2022-07-26 17:55:00
9,IT_28822,large hail,Reggiolo ,Italy,44.92,10.8,,2 cm,report confirmed by reliable source,2022-07-26 16:40:00
10,IT_28821,large hail,Luzzara ,Italy,44.94,10.73,,2 cm,report confirmed by reliable source,2022-07-26 16:20:00
11,IT_28969,large hail,San Quirino ,Italy,46.03,12.66,< 3 km,3 cm,report confirmed by reliable source,2022-07-26 00:45:00
12,IT_28797,large hail,Egna ,Italy,46.27,11.24,,3 cm,report confirmed by reliable source,2022-07-25 19:45:00
13,IT_28799,large hail,Lagnasco ,Italy,44.63,7.56,,4 cm,report confirmed by reliable source,2022-07-25 16:45:00
14,IT_28809,large hail,Saluzzo ,Italy,44.64,7.49,< 3 km,5 cm,report confirmed by reliable source,2022-07-25 16:30:00
15,IT_28824,large hail,Rubiana ,Italy,45.14,7.38,,2 cm,report confirmed by reliable source,2022-07-25 15:25:00
16,IT_28788,large hail,Rogliano ,Italy,39.18,16.47,< 3 km,2 cm,report confirmed by reliable source,2022-07-24 13:00:00
17,IT_28783,large hail,Cannobio ,Italy,46.06,8.7,< 1 km,2 cm,plausibility check passed,2022-07-23 00:30:00
18,IT_28750,large hail,L''Aquila ,Italy,42.33,13.38,< 3 km,2 cm,report confirmed by reliable source,2022-07-17 13:40:00
19,IT_28748,large hail,Renon ,Italy,46.54,11.47,,2 cm,report confirmed by reliable source,2022-07-16 17:55:00
20,IT_28746,large hail,Feltre ,Italy,46.02,11.9,,2 cm,report confirmed by reliable source,2022-07-11 21:30:00
21,IT_28745,large hail,Pedavena ,Italy,46.04,11.88,,2 cm,report confirmed by reliable source,2022-07-11 21:25:00
22,IT_28707,large hail,Bolsena ,Italy,42.64,11.99,< 3 km,4 cm,report confirmed by reliable source,2022-07-07 22:25:00
23,IT_28648,large hail,Acquapendente ,Italy,42.76,11.94,,4 cm,report confirmed by reliable source,2022-07-07 21:35:00
24,IT_28689,large hail,Laterina ,Italy,43.48,11.72,,4 cm,report confirmed by reliable source,2022-07-07 20:40:00
25,IT_28651,large hail,Figline Valdarno ,Italy,43.62,11.47,,3 cm,report confirmed by reliable source,2022-07-07 20:30:00
26,IT_28633,large hail,Santa Sofia ,Italy,43.93,11.85,< 5 km,6 cm,report confirmed by reliable source,2022-07-07 19:50:00
27,IT_28676,large hail,Premilcuore ,Italy,43.98,11.78,,3 cm,report confirmed by reliable source,2022-07-07 19:45:00
28,IT_28678,large hail,Jesi ,Italy,43.53,13.26,,2 cm,report confirmed by reliable source,2022-07-07 19:40:00
29,IT_28644,large hail,Pergine Valdarno ,Italy,43.47,11.69,,3 cm,report confirmed by reliable source,2022-07-07 19:35:00
30,IT_28643,large hail,Predappio ,Italy,44.11,11.93,,3 cm,report confirmed by reliable source,2022-07-07 19:20:00
31,IT_28601,large hail,Formigine ,Italy,44.58,10.82,,6 cm,report confirmed by reliable source,2022-07-07 19:20:00
32,IT_28675,large hail,Castelnuovo Rangone ,Italy,44.57,10.91,,3 cm,report confirmed by reliable source,2022-07-07 19:15:00
33,IT_28632,large hail,Dovadola ,Italy,44.12,11.88,< 3 km,6 cm,report confirmed by reliable source,2022-07-07 19:15:00
34,IT_28609,large hail,Modena ,Italy,44.64,10.92,,4 cm,report confirmed by reliable source,2022-07-07 19:10:00
35,IT_28674,large hail,Medolla ,Italy,44.85,11.08,,3 cm,report confirmed by reliable source,2022-07-07 19:00:00
36,IT_28646,large hail,Solarolo ,Italy,44.36,11.83,,3 cm,report confirmed by reliable source,2022-07-07 18:50:00
37,IT_28680,large hail,Bagnara di Romagna ,Italy,44.39,11.82,,2 cm,report confirmed by reliable source,2022-07-07 18:45:00
